OBJ,RA,DEC,PETROR50_R,PETROR90_R,PETROMAG_U,PETROMAG_G,PETROMAG_R,PETROMAG_I,PETROMAG_Z,PETROMAGERR_U,PETROMAGERR_G,PETROMAGERR_R,PETROMAGERR_I,PETROMAGERR_Z,PSFMAG_R,FIBERMAG_R,DEVMAG_R,DEVMAGERR_R,EXPMAG_R,EXPMAGERR_R,FRACDEV_R,MU50_R,EXTINCTION_U,EXTINCTION_G,EXTINCTION_R,EXTINCTION_I,EXTINCTION_Z,CMODELMAG_R,CMODELMAGERR_R,REDSHIFT,REDSHIFTERR,PETROMAG_MU,PETROMAG_MG,PETROMAG_MR,PETROMAG_MI,PETROMAG_MZ,PETROMAGERR_MU,PETROMAGERR_MG,PETROMAGERR_MR,PETROMAGERR_MI,PETROMAGERR_MZ,PETROR50_R_KPC,color_new,Morphology,Uncertain,Elliptical,Spiral
137,184.9442443847656,-1.199940800666809,2.254702,6.496093,18.395613,17.089314,16.458712,16.06867,15.842147,0.041471157,0.008273302,0.0071700504,0.0068367724,0.016873462,17.473108,17.741257,16.340677,0.0041680527,16.604702,0.004273454,0.9993156,20.219606399536133,0.14891751,0.10957209,0.07947082,0.06026032,0.042725317,16.340837478637695,0.0041658161208033,0.0848963,8.48341e-05,-19.904018,-21.091803,-21.649805,-21.90376,-22.148493,0.046042487,0.012978738,0.012304864,0.01211369,0.019614192,3.5922883,0.6306020000000032,1,0,1,0
136,185.2106170654297,-1.103299856185913,3.872243,8.939961,18.894129,17.760628,16.676353,16.277302,16.079248,0.11114281,0.022476181,0.01115438,0.012388604,0.034659535,18.257395,18.519253,16.43371,0.005197171,16.788162,0.0053737867,0.9305545,21.611616134643555,0.1759014,0.12942657,0.093870945,0.071179494,0.050467152,16.45491600036621,0.0049392781220376,0.132728,0.000155923,-20.608025,-21.740599,-22.53648,-22.853327,-22.96273,0.11293201,0.024600422,0.014980665,0.015920984,0.03607355,9.132822,1.0842750000000017,1,0,1,0
121,185.6866455078125,-1.1370368003845217,2.2830544,6.707578,19.016762,17.348946,16.488462,16.089668,15.774756,0.07526946,0.0098192645,0.0066040256,0.007127879,0.01632046,17.476149,17.750679,16.411236,0.0039333487,16.698505,0.004046765,1.0,20.27649307250977,0.1279525,0.09414623,0.0682827,0.051776703,0.03671033,16.411235809326172,0.0039333486929535,0.0663914,0.000162652,-18.742792,-20.295542,-21.033342,-21.370481,-21.648897,0.07788495,0.014014928,0.011983872,0.012280339,0.019140527,2.9065995,0.8604840000000031,1,0,1,0
139,185.63535103,-1.20989625,6.366532,11.776281,17.955399,16.968178,16.562674,16.344095,16.517227,0.07349483,0.017360328,0.011541235,0.022060044,0.08072006,19.435642,19.589582,15.711193,0.006868584,16.475765,0.006637008,0.020257566,22.57763776654005,0.13865316,0.10201968,0.07399318,0.056106787,0.039780412,16.45351169669204,0.0063765982785755,0.0492789,0.000116186,-19.0141,-19.874062,-20.25181,-20.358253,-20.174946,0.076168016,0.020034503,0.015270895,0.024220783,0.081338465,6.1387405,0.40550400000000053,2,0,0,1
183,186.54191963,-1.15645876,4.2856274,7.989832,18.003143,16.726673,16.179087,15.89116,15.797426,0.0457652,0.0081167845,0.00639194,0.0079094665,0.024682987,18.887712,18.873312,15.591781,0.0047260607,16.100689,0.0043346854,0.0,21.33460833541488,0.11900683,0.087564096,0.063508786,0.04815679,0.034143765,16.100688912755242,0.0043346853633387,0.0420408,8.45731e-05,-18.606073,-19.766464,-20.27457,-20.487194,-20.556856,0.049944837,0.012879529,0.011868317,0.012749891,0.02663185,3.555778,0.5475860000000026,0,1,0,0
171,186.73497009277344,-1.2001184225082395,3.5120378,7.887479,18.288778,17.106064,16.510511,16.167551,15.909969,0.05504474,0.010531784,0.008243019,0.009343129,0.027060118,18.315895,18.490189,16.124382,0.0045822575,16.491844,0.0044575394,0.058321204,21.23375701904297,0.13986477,0.10291117,0.07463977,0.056597073,0.04012803,16.46663475036621,0.0041175568476319,0.0723712,0.000100408,-19.58278,-20.667946,-21.201132,-21.454535,-21.701004,0.058566224,0.014523038,0.012959453,0.013685546,0.028848883,4.8399863,0.5955529999999989,0,1,0,0
130,186.76222229003903,-1.2067561149597168,2.0582986,5.655466,19.271673,17.72027,16.90091,16.44551,16.151197,0.10697451,0.020528788,0.012896999,0.012991002,0.019919487,17.917316,18.103413,16.78469,0.0051088785,16.96067,0.005123843,0.696901,20.46390151977539,0.1400267,0.10303032,0.07472619,0.056662604,0.04017449,16.8350830078125,0.0039778309874236,0.0722813,0.00010885,-18.696142,-20.120892,-20.84404,-21.206457,-21.487856,0.10883638,0.022834904,0.016319707,0.016394097,0.022288848,2.8333428,0.8193599999999996,1,0,1,0
112,187.0824584960937,-1.1276696920394895,2.013916,5.7253375,19.216434,17.853506,17.039698,16.626076,16.37443,0.07769741,0.013378935,0.00939018,0.010259514,0.023542555,17.917326,18.18952,16.981886,0.0050242953,17.21708,0.0050950805,0.9775442,20.55535316467285,0.13535598,0.09959365,0.07223362,0.054772567,0.03883443,16.986644744873047,0.0049339137040078,0.114587,5.50007e-05,-19.841572,-21.141699,-21.784468,-22.07487,-22.308367,0.08023565,0.0167032,0.013717715,0.014326824,0.025578627,4.185712,0.8138079999999981,1,0,1,0
119,187.0863494873047,-1.0675945281982422,3.5660782,9.066307,18.363602,17.046432,16.43842,16.071777,15.824201,0.059104398,0.010840599,0.00808044,0.008646769,0.022656132,18.18346,18.385916,16.100624,0.0044511133,16.527918,0.0044461954,0.42468205,21.194822311401367,0.12944296,0.0952429,0.069078095,0.05237983,0.03713795,16.325632095336914,0.0031490072142332,0.0803826,0.00010773,-19.781944,-20.986286,-21.519665,-21.76666,-22.024044,0.0623974,0.0147485165,0.012856655,0.013219936,0.024764998,5.4077935,0.6080119999999987,0,1,0,0
125,187.09515323,-1.22300326,4.479611,8.596113,18.389585,17.09895,16.52265,16.249498,16.057325,0.07286105,0.012747042,0.009449609,0.01236522,0.034830708,18.839605,19.051033,15.919758,0.005379579,16.44352,0.0051312903,0.0,21.77430085610596,0.12628873,0.09292205,0.06739482,0.05110345,0.036232986,16.443519570254917,0.0051312902594991,0.114783,0.000137109,-20.578663,-21.785412,-22.238712,-22.386927,-22.56396,0.075557284,0.01620146,0.013758459,0.015902795,0.036238045,9.3242445,0.5762999999999998,0,1,0,0
134,187.111328125,-1.1288673877716064,5.7139826,11.170201,17.975332,16.705956,16.103262,15.758977,15.569873,0.06292214,0.011242042,0.008423237,0.009969502,0.027861724,18.604439,18.799925,15.5473795,0.004525539,16.06207,0.004395355,0.11518788,21.883405685424805,0.13347182,0.098207295,0.07122812,0.054010127,0.038293853,15.98875331878662,0.0037184369284659,0.0727057,0.000160735,-19.930447,-21.08538,-21.617,-21.84604,-22.039087,0.06602465,0.015046051,0.013074822,0.01412059,0.029602032,7.907823,0.6026939999999996,0,1,0,0
69,187.21368408203125,-1.1658121347427368,2.1748126,6.7604294,19.864412,17.788483,16.794218,16.347563,16.017845,0.15001863,0.016063606,0.025671588,0.017129647,0.018959258,17.81295,18.024315,16.71992,0.004551705,17.02271,0.0046642506,1.0,20.476776123046875,0.12554358,0.09237377,0.06699716,0.05080192,0.036019195,16.719919204711914,0.0045517049729824,0.115384,0.000155081,-19.368639,-21.304129,-22.068777,-22.42563,-22.703775,0.15138197,0.018921962,0.027550524,0.01983495,0.021434978,4.5474343,0.9942649999999986,1,0,1,0
134,187.3183441162109,-1.0620547533035278,3.2775376,7.942338,18.701588,16.862535,15.936729,15.53755,15.223173,0.081491575,0.008624405,0.0049870214,0.0053945463,0.013405105,17.421467,17.60588,15.763472,0.0032960903,16.088758,0.0033813585,0.8563157,20.509918212890625,0.12656716,0.09312691,0.0675434,0.051216118,0.036312867,15.8046293258667,0.0029552988708019,0.0804596,0.000157839,-19.55671,-21.2764,-22.033522,-22.372189,-22.63975,0.08391217,0.013205318,0.011174543,0.0113622695,0.016724156,4.9745517,0.9258060000000015,1,0,1,0
111,187.5317230224609,-1.159705400466919,2.5157318,5.147564,18.468313,17.450836,17.034483,16.713879,16.587885,0.04513364,0.010174675,0.0089980615,0.010685265,0.031934377,18.604393,18.61952,16.684408,0.0064367885,16.995996,0.006223925,0.018092675,21.03325462341309,0.11402432,0.083898015,0.060849838,0.04614059,0.03271425,16.989486694335938,0.0060767414979636,0.0715025,7.18617e-05,-19.328838,-20.245676,-20.65799,-20.818544,-20.976784,0.049367223,0.014266194,0.013452334,0.014634726,0.033464067,3.4288254,0.4163529999999973,2,0,0,1
169,187.64132690429688,-1.2366732358932495,2.100883,5.879149,19.772902,17.89614,17.003826,16.60043,16.322483,0.13023242,0.015813773,0.01004211,0.010254536,0.022538038,18.091223,18.24332,16.8616,0.0051534385,17.135105,0.005229977,0.8820483,20.611284255981445,0.11027361,0.081138276,0.058848247,0.044622842,0.031638153,16.890499114990234,0.0046940981410443,0.0805988,0.000154589,-18.473452,-20.227428,-20.961647,-21.29383,-21.536743,0.1317863,0.018710341,0.014171951,0.014323259,0.024657153,3.1936593,0.8923139999999989,1,0,1,0
294,188.04033928,-1.09525902,7.620175,16.065413,18.121714,16.971872,16.51187,16.474777,16.745443,0.10745769,0.028386839,0.014867532,0.06416949,0.15840882,20.002031,19.994516,16.008942,0.008746941,16.377007,0.008010853,0.0,22.9171437414262,0.11855967,0.08723508,0.06327016,0.047975842,0.034015473,16.377006508820593,0.0080108530277206,0.0842651,0.000154589,-19.438183,-20.899754,-21.566618,-21.895903,-22.13827,0.08295735,0.016296417,0.013468414,0.01412059,0.024162583,4.1962385,0.4600020000000029,2,0,0,1
127,188.19569396972656,-1.160946011543274,1.8283579,4.90138,19.63313,17.774601,16.863997,16.465908,16.153358,0.10238602,0.010955417,0.00841473,0.007087805,0.017446954,17.654417,17.919691,16.759926,0.004413358,16.983927,0.004490902,1.0,20.16975212097168,0.11890698,0.087490626,0.0634555,0.048116386,0.034115117,16.759925842285156,0.0044133579358458,0.0920063,0.000149331,-18.967833,-20.696936,-21.426397,-21.750406,-22.016811,0.10433723,0.01483313,0.013069346,0.012257123,0.020109735,3.131144,0.9106039999999993,1,0,1,0
143,188.2104339599609,-1.0604298114776611,2.578515,6.085552,19.339437,17.498928,16.654438,16.263245,15.957803,0.10782556,0.011480066,0.007197123,0.007705104,0.019660395,17.988539,18.16804,16.378036,0.0043778634,16.685146,0.004380305,0.53741324,20.70673561096192,0.12520878,0.09212743,0.0668185,0.050666444,0.035923142,16.509414672851562,0.0031656350474804,0.071963,0.000164214,-18.636261,-20.336657,-21.054417,-21.374878,-21.649143,0.109674506,0.015224727,0.012320659,0.012624132,0.022057556,3.5351279,0.8444900000000004,0,1,0,0
178,188.70465087890625,-1.076588749885559,2.3629196,6.6547446,19.516949,17.562653,16.621727,16.180962,15.904154,0.12617792,0.012124971,0.0068105967,0.0072622425,0.018444207,17.822147,17.955822,16.508358,0.0044626314,16.813303,0.004607052,1.0,20.484420776367188,0.11286899,0.083047934,0.06023329,0.04567308,0.032382783,16.508358001708984,0.004462631419301,0.0915457,0.000147048,-19.070076,-20.899754,-21.660332,-22.03542,-22.263004,0.12776947,0.015716722,0.012098937,0.012358812,0.020980766,4.0284863,0.940926000000001,1,0,1,0
139,189.08432006835932,-1.1203241348266602,4.574272,8.88633,17.741282,16.442156,15.849319,15.5039835,15.366733,0.041119423,0.0072316104,0.0053906017,0.006292724,0.018826604,18.019705,18.013216,15.556699,0.003514305,15.903524,0.0035273565,0.50869185,21.146379470825195,0.1290676,0.09496671,0.06887778,0.052227937,0.037030257,15.713335990905762,0.0025259668473154,0.0809089,0.000112347,-20.432304,-21.610262,-22.111935,-22.29967,-22.468718,0.045725524,0.012340835,0.011360396,0.011815176,0.021317659,6.9778247,0.5928370000000012,0,1,0,0
139,189.2611694335937,-1.0768625736236572,3.1771793,9.27577,19.975906,18.329279,17.033024,16.530611,16.169603,0.27933347,0.039390072,0.026198512,0.023195777,0.03957122,18.53822,18.593353,17.014074,0.005944171,17.468225,0.006231973,1.0,21.53868293762207,0.11963899,0.088029236,0.06384615,0.0484126,0.034325134,17.014074325561523,0.0059441709890961,0.187008,0.000183033,-20.814627,-22.266474,-23.085514,-23.457993,-23.74663,0.28013238,0.040639855,0.028042175,0.025259556,0.04081556,9.941948,1.2962549999999986,1,0,1,0
55,189.3934783935547,-1.245808720588684,2.8766341,8.294902,19.952782,17.524336,16.432186,15.949058,15.674067,0.22437896,0.013959665,0.0076071722,0.5023167,0.018145813,17.885605,17.978123,16.26928,0.004044998,16.670094,0.004172595,1.0,20.72205924987793,0.12004418,0.08832736,0.06406237,0.048576556,0.034441385,16.26927947998047,0.0040449979715049,0.135346,0.000162965,-19.754322,-22.04359,-22.813261,-23.217415,-23.408794,0.22533293,0.017171862,0.012564598,0.50241643,0.020718904,6.898133,1.0921500000000002,1,0,1,0
